ID,Description,GeneRatio,p.adjust,Count,geneID
hsa05417,Lipid and atherosclerosis,44/712,2.93274498217799e-06,44,NFKBIA/CXCL8/CXCL1/CXCL3/ICAM1/TNFRSF10B/STAT3/IKBKE/TNF/TRAF3/ERO1A/NFKB1/TNFSF10/TICAM1/CXCL2/RAP1B/NOX1/CYP2B6/BID/FOS/TANK/TRAF2/LYN/TLR4/ABCG1/TLR2/ERN1/HSPA2/CD40/MAPK11/NFATC2/CCL2/CYP1A1/PIK3CD/VAV1/APOA1/NFATC1/CASP1/CD14/HSPA1L/NCF2/IL1B/TLR6/CAMK2B
hsa04820,Cytoskeleton in muscle cells,39/712,6.80390223075685e-06,39,ITGAV/SDC4/ATP1B1/COL9A2/ITGA2/ITGB8/PLEC/DSC2/ITGA3/HSPG2/TPM1/LMNB1/ITGB6/OBSCN/THBS2/COL6A1/FMNL2/SYNE3/PDLIM4/NID2/MYOM3/TPM2/COL1A1/TMOD2/SSPN/TNNT2/TMOD1/SPTBN5/SYNE1/CSRP2/DMD/FBN3/LAMA1/COL5A1/COL11A2/COL5A3/ATP1A3/ITGA9/NEB
hsa00980,Metabolism of xenobiotics by cytochrome P450,20/712,6.80390223075685e-06,20,UGT1A6/GSTM4/AKR7A3/AKR1C1/CYP2B6/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/ALDH3A1/UGT2A3/ADH1C/UGT2B17/CYP1A1/ALDH3B2/GSTM2/CYP3A4/CBR3/GSTA1
hsa05140,Leishmaniasis,20/712,6.80390223075685e-06,20,NFKBIA/IFNGR1/C3/IFNGR2/TNF/NFKB1/HLA-DRB1/HLA-DRA/NFKBIB/ITGAM/JAK1/FOS/TLR4/TLR2/MAPK11/HLA-DRB5/EEF1A2/NOS2/NCF2/IL1B
hsa05200,Pathways in cancer,78/712,2.13711817971858e-05,78,LAMC2/NFKBIA/NFKB2/LAMA3/IL2RG/ITGAV/LAMB3/BIRC3/CXCL8/SMAD3/IFNGR1/PRKCG/IFNGR2/STAT5A/ITGA2/IL6ST/STAT3/ITGA3/CTNNB1/TRAF3/BMP2/ETS1/GSTM4/ARNT2/LAMA5/TXNRD1/NFKB1/TGFA/LAMC1/PDGFB/BBC3/PML/IL23A/IFNAR2/IL4R/EDN1/WNT4/BID/GADD45A/JAK1/FZD7/ADCY5/FOXO1/VEGFA/FOS/LPAR2/PRKACB/PMAIP1/CDKN2B/TRAF2/RAC2/SHH/MSH2/PLD1/TGFBR1/LAMA4/PTGER4/FGF2/WNT10A/PAX8/IL15RA/BDKRB2/F2R/PIK3CD/FGF19/GSTM2/E2F2/IL6R/NOS2/TRAF1/WNT7A/LAMA1/TERT/GSTA1/IL7/IL15/FGF18/CAMK2B
hsa04974,Protein digestion and absorption,19/712,3.03587705292749e-05,19,ATP1B1/COL9A2/KCNN4/COL16A1/COL6A1/COL7A1/MEP1A/COL1A1/SLC6A19/COL12A1/SLC16A10/COL5A1/COL11A2/PRSS1/CPA2/COL5A3/ATP1A3/XPNPEP2/COL13A1
hsa04080,Neuroactive ligand-receptor interaction,31/712,3.11426388019065e-05,31,PTAFR/C3/OXTR/NMU/EDN1/ADRA2A/LPAR2/DRD1/GABRP/VIPR1/PTGER4/RXFP4/NMUR2/BDKRB2/F2R/NPY4R/C5/PTGDR/CHRM3/ADRA2B/PRLR/NPY4R2/LYNX1/ADORA1/HTR1D/PRSS1/PMCH/UTS2/EDN3/EDN2/S1PR3
hsa05145,Toxoplasmosis,26/712,3.11426388019065e-05,26,LAMC2/NFKBIA/LAMA3/LAMB3/BIRC3/IFNGR1/IFNGR2/STAT3/TNF/LAMA5/NFKB1/LAMC1/HLA-DRB1/HLA-DRA/NFKBIB/JAK1/TLR4/TLR2/LAMA4/CD40/MAPK11/CIITA/HLA-DRB5/NOS2/LAMA1/HSPA1L
hsa05164,Influenza A,34/712,3.9323466000769e-05,34,NFKBIA/CXCL8/TMPRSS2/IFNGR1/IFNGR2/ICAM1/TNFRSF10B/IKBKE/TNF/TRAF3/OAS3/NFKB1/TNFSF10/TICAM1/PML/HLA-DRB1/IFNAR2/HLA-DRA/NFKBIB/BID/JAK1/RIGI/OAS1/TLR4/MX1/IFIH1/CCL2/CIITA/PIK3CD/HLA-DRB5/TLR3/PRSS1/CASP1/IL1B
hsa05330,Allograft rejection,9/712,5.86398770651493e-05,9,HLA-B/HLA-F/HLA-A/HLA-C/TNF/HLA-DRB1/HLA-DRA/CD40/HLA-DRB5
hsa05134,Legionellosis,18/712,8.11572223631846e-05,18,NFKBIA/NFKB2/CXCL8/CXCL1/CXCL3/C3/TNF/NFKB1/CXCL2/ITGAM/TLR4/TLR2/EEF1A2/TLR5/CASP1/CD14/HSPA1L/IL1B
hsa05167,Kaposi sarcoma-associated herpesvirus infection,37/712,9.82279143636207e-05,37,NFKBIA/HLA-B/CXCL8/CXCL1/HLA-F/IFNGR1/CXCL3/HLA-A/C3/HLA-C/ICAM1/IL6ST/STAT3/IKBKE/CTNNB1/TRAF3/NFKB1/TICAM1/CXCL2/PDGFB/IFNAR2/BID/JAK1/VEGFA/FOS/TRAF2/LYN/CSF2/MAPK11/FGF2/NFATC2/PIK3CD/E2F2/NFATC4/PREX1/TLR3/NFATC1
hsa05163,Human cytomegalovirus infection,41/712,9.97526937399826e-05,41,NFKBIA/HLA-B/ITGAV/CXCL8/CX3CL1/HLA-F/TAPBP/PRKCG/HLA-A/TAP1/HLA-C/STAT3/B2M/TNF/CTNNB1/TAP2/NFKB1/BCAR1/CREB3L1/CREB3L2/BID/JAK1/ADCY5/VEGFA/TAPBPL/CGAS/PRKACB/TRAF2/EIF4EBP1/RAC2/PTGER4/MAPK11/NFATC2/CCL2/PIK3CD/E2F2/CREB5/NFATC4/IL6R/NFATC1/IL1B
hsa05332,Graft-versus-host disease,9/712,0.0001138828481933,9,HLA-B/HLA-F/HLA-A/HLA-C/TNF/HLA-DRB1/HLA-DRA/HLA-DRB5/IL1B
hsa04518,Integrin signaling,29/712,0.0001147689532161,29,LAMC2/LAMA3/ITGAV/LAMB3/C3/COL9A2/ITGA2/ICAM1/ITGB8/ITGA3/CTNNB1/LAMA5/LAMC1/ICAM2/PDGFB/ITGB6/ITGAM/THBS2/VEGFA/COL6A1/RAC2/LAMA4/COL1A1/PIK3CD/TNXB/PDGFC/LAMA1/FREM1/ITGA9
hsa05169,Epstein-Barr virus infection,39/712,0.0001212454085688,39,TNFAIP3/NFKBIA/NFKB2/RELB/HLA-B/NFKBIE/HLA-F/TAPBP/HLA-A/TAP1/HLA-C/ICAM1/STAT3/B2M/IKBKE/TNF/TRAF3/TAP2/OAS3/NFKB1/HLA-DRB1/IFNAR2/HLA-DRA/NFKBIB/BID/GADD45A/JAK1/RIGI/OAS1/TAPBPL/TRAF2/LYN/TLR2/CD40/MAPK11/PIK3CD/E2F2/HLA-DRB5/ISG15
hsa00982,Drug metabolism - cytochrome P450,16/712,0.0001333186156662,16,UGT1A6/GSTM4/CYP2B6/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/ALDH3A1/UGT2A3/ADH1C/UGT2B17/ALDH3B2/GSTM2/CYP3A4/GSTA1
hsa04024,cAMP signaling pathway,34/712,0.0001426563568977,34,NFKBIA/ATP1B1/ATP2B4/ACOX1/PPP1R1B/OXTR/NFKB1/RRAS/RAP1B/CREB3L1/AFDN/EDN1/CREB3L2/ADCY5/FOS/DRD1/PRKACB/PDE4D/RAC2/PLD1/PDE10A/F2R/PIK3CD/CREB5/LIPE/VAV1/NFATC1/ADORA1/HTR1D/EDN3/ATP1A3/EDN2/RAPGEF3/CAMK2B
hsa04976,Bile secretion,19/712,0.0002209785626818,19,ATP1B1/UGT1A6/SLC5A1/NCEH1/ABCB1/ADCY5/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/PRKACB/UGT2A3/UGT2B17/CYP3A4/ABCC2/AQP1/SLC27A5/ATP1A3
hsa05320,Autoimmune thyroid disease,8/712,0.0002364113893265,8,HLA-B/HLA-F/HLA-A/HLA-C/HLA-DRB1/HLA-DRA/CD40/HLA-DRB5
hsa04620,Toll-like receptor signaling pathway,22/712,0.0002487687771095,22,NFKBIA/CXCL8/IKBKE/TNF/TRAF3/NFKB1/TICAM1/CXCL11/IFNAR2/JAK1/FOS/TLR4/TLR2/CD40/MAPK11/MAP3K8/PIK3CD/TLR3/TLR5/CD14/IL1B/TLR6
hsa04380,Osteoclast differentiation,27/712,0.0002487687771095,27,SQSTM1/NFKBIA/NFKB2/RELB/IFNGR1/IFNGR2/CSF1/TNF/JUNB/FOSL2/NFKB1/TNFRSF11A/IFNAR2/NOX1/JAK1/FOS/TRAF2/CYLD/TGFBR1/MAPK11/NFATC2/PIK3CD/TNFRSF11B/LCK/NFATC1/NCF2/IL1B
